protein,region,n_residues,mean_plddt,median_plddt,min_plddt,max_plddt
wzh_seq70,192-200,9,0.7569886,0.776597,0.64589554,0.82463306
wzh_seq71,192-200,9,0.707332,0.7252078,0.6090418,0.7773032
wzh_seq72,192-200,9,0.7352434,0.7594104,0.6085935,0.80623263
wzh_seq73,192-200,9,0.7039416,0.72396886,0.5869672,0.77839273
wzh_seq74,192-200,9,0.6908111,0.7051207,0.58564794,0.74774253
wzh_seq75,192-200,9,0.5829723,0.5873555,0.48696205,0.7065493
wzh_seq76,192-200,9,0.5068729,0.5060177,0.42230016,0.6047858
wzh_seq77,192-200,9,0.59640723,0.52804095,0.44446266,0.8129944
wzh_seq78,192-200,9,0.6589301,0.6679165,0.57301044,0.7649405
wzh_seq79,192-200,9,0.65087867,0.67762804,0.51003057,0.7781662
wzh_seq7,192-200,9,0.7021713,0.7177967,0.5685388,0.8074034
wzh_seq80,192-200,9,0.76978534,0.7977554,0.6622539,0.8372282
wzh_seq81,192-200,9,0.71636176,0.7305418,0.5969042,0.7985685
wzh_seq82,192-200,9,0.52541393,0.48804605,0.43772432,0.6887274
wzh_seq83,192-200,9,0.6589456,0.65508866,0.5943864,0.74312735
wzh_seq84,192-200,9,0.6293446,0.60199404,0.52692705,0.78619593
wzh_seq85,192-200,9,0.6340084,0.67303413,0.47183114,0.75664735
wzh_seq86,192-200,9,0.7053573,0.74701816,0.4893602,0.8336421
wzh_seq87,192-200,9,0.7278621,0.74576557,0.61251616,0.81515646
wzh_seq88,192-200,9,0.71149486,0.7296363,0.60910547,0.7766055
wzh_seq89,192-200,9,0.64981794,0.6678465,0.53189653,0.7685178
wzh_seq8,192-200,9,0.6328493,0.63644755,0.5054569,0.75414526
wzh_seq9,192-200,9,0.73123,0.74811554,0.5999715,0.8156312
