gene,missing_serotypes_covered,missing_serotypes_total,missing_coverage_percent,total_serotypes_covered,total_serotypes,total_coverage_percent,mean_pairwise_identity,min_pairwise_identity,max_pairwise_identity,n_pairwise_comparisons,covered_missing_serotypes
wcwC,2,26,7.6923076923076925,7,90,7.777777777777778,49.53703703703704,49.53703703703704,49.53703703703704,1,"SPC07F,SPC11F"
wchG,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC02
wchH,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC02
wchI,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC02
wchL,1,26,3.8461538461538463,5,90,5.555555555555555,,,,0,SPC15F
wchM,1,26,3.8461538461538463,5,90,5.555555555555555,,,,0,SPC15F
wchN,1,26,3.8461538461538463,5,90,5.555555555555555,,,,0,SPC15F
wchV,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC23B
wchW,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC23B
wciL,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC45
wciU,1,26,3.8461538461538463,6,90,6.666666666666667,,,,0,SPC28A
wciZ,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC15F
wcjH,1,26,3.8461538461538463,4,90,4.444444444444445,,,,0,SPC35F
wcrC,1,26,3.8461538461538463,12,90,13.333333333333334,,,,0,SPC35F
wcrD,1,26,3.8461538461538463,10,90,11.11111111111111,,,,0,SPC35F
wcrL,1,26,3.8461538461538463,5,90,5.555555555555555,,,,0,SPC11F
wcrM,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC35B
wcrO,1,26,3.8461538461538463,4,90,4.444444444444445,,,,0,SPC35F
wcrP,1,26,3.8461538461538463,4,90,4.444444444444445,,,,0,SPC41F
wcrQ,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC41F
wcrR,1,26,3.8461538461538463,4,90,4.444444444444445,,,,0,SPC41F
wcrW,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC41F
wcrX,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC41F
wcwD,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC07F
wcwG,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC07F
wcwH,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC07F
wcwI,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC40
wcwK,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC21
wcwL,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC40
wcwT,1,26,3.8461538461538463,5,90,5.555555555555555,,,,0,SPC11F
wcwU,1,26,3.8461538461538463,5,90,5.555555555555555,,,,0,SPC11F
wcxB,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC45
wcxM,1,26,3.8461538461538463,3,90,3.3333333333333335,,,,0,SPC28A
wcxN,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC28A
wcxP,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC28A
wcxQ,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC28A
wcxS,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC45
wcyK,1,26,3.8461538461538463,6,90,6.666666666666667,,,,0,SPC11F
wcyO,1,26,3.8461538461538463,2,90,2.2222222222222223,,,,0,SPC21
wcyQ,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC45
wcyR,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC45
wcyT,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC21
wcyU,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC21
whaC,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC05
whaD,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC05
whaE,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC05
whaK,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC27
whaL,1,26,3.8461538461538463,1,90,1.1111111111111112,,,,0,SPC27
HG262,0,26,0.0,1,90,1.1111111111111112,,,,0,
HG264,0,26,0.0,1,90,1.1111111111111112,,,,0,
gla,0,26,0.0,3,90,3.3333333333333335,,,,0,
intron,0,26,0.0,3,90,3.3333333333333335,,,,0,
lrp,0,26,0.0,1,90,1.1111111111111112,,,,0,
wchB,0,26,0.0,1,90,1.1111111111111112,,,,0,
wchC,0,26,0.0,1,90,1.1111111111111112,,,,0,
wchD,0,26,0.0,1,90,1.1111111111111112,,,,0,
wchO,0,26,0.0,9,90,10.0,,,,0,
wchP,0,26,0.0,4,90,4.444444444444445,,,,0,
wchR,0,26,0.0,2,90,2.2222222222222223,,,,0,
wchS,0,26,0.0,2,90,2.2222222222222223,,,,0,
wchU,0,26,0.0,1,90,1.1111111111111112,,,,0,
wciC,0,26,0.0,3,90,3.3333333333333335,,,,0,
wciD,0,26,0.0,6,90,6.666666666666667,,,,0,
wciE,0,26,0.0,6,90,6.666666666666667,,,,0,
wciF,0,26,0.0,12,90,13.333333333333334,,,,0,
wciK,0,26,0.0,1,90,1.1111111111111112,,,,0,
wciN,0,26,0.0,5,90,5.555555555555555,,,,0,
wciO,0,26,0.0,4,90,4.444444444444445,,,,0,
wciP,0,26,0.0,2,90,2.2222222222222223,,,,0,
wciQ,0,26,0.0,1,90,1.1111111111111112,,,,0,
wciS,0,26,0.0,1,90,1.1111111111111112,,,,0,
wciT,0,26,0.0,1,90,1.1111111111111112,,,,0,
wciV,0,26,0.0,4,90,4.444444444444445,,,,0,
wciW,0,26,0.0,4,90,4.444444444444445,,,,0,
wciX,0,26,0.0,3,90,3.3333333333333335,,,,0,
wciY,0,26,0.0,5,90,5.555555555555555,,,,0,
wcjA,0,26,0.0,5,90,5.555555555555555,,,,0,
wcjB,0,26,0.0,4,90,4.444444444444445,,,,0,
wcjC,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcjD,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcjG,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcrG,0,26,0.0,3,90,3.3333333333333335,,,,0,
wcrT,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcrU,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcrV,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcwR,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcwV,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcwY,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcxR,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcxT,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcyA,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcyB,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcyC,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcyD,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcyF,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcyM,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcyN,0,26,0.0,2,90,2.2222222222222223,,,,0,
wcyP,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcyS,0,26,0.0,1,90,1.1111111111111112,,,,0,
wcyV,0,26,0.0,1,90,1.1111111111111112,,,,0,
whaB,0,26,0.0,2,90,2.2222222222222223,,,,0,
whaF,0,26,0.0,1,90,1.1111111111111112,,,,0,
whaG,0,26,0.0,1,90,1.1111111111111112,,,,0,
whaI,0,26,0.0,4,90,4.444444444444445,,,,0,
whaJ,0,26,0.0,1,90,1.1111111111111112,,,,0,
whaM,0,26,0.0,1,90,1.1111111111111112,,,,0,
