gene,seq1,seq2,tm_score
mnaA,mnaA_seq2.pdb,mnaA_seq1.pdb,0.71517
mnaA,mnaA_seq2.pdb,mnaA_seq5.pdb,0.74653
mnaA,mnaA_seq2.pdb,mnaA_seq8.pdb,0.52365
mnaA,mnaA_seq2.pdb,mnaA_seq7.pdb,0.55537
mnaA,mnaA_seq2.pdb,mnaA_seq12.pdb,0.7626
mnaA,mnaA_seq2.pdb,mnaA_seq11.pdb,0.83803
mnaA,mnaA_seq2.pdb,mnaA_seq0.pdb,0.73486
mnaA,mnaA_seq2.pdb,mnaA_seq13.pdb,0.55907
mnaA,mnaA_seq2.pdb,mnaA_seq4.pdb,0.81894
mnaA,mnaA_seq2.pdb,mnaA_seq6.pdb,0.51715
mnaA,mnaA_seq10.pdb,mnaA_seq1.pdb,0.77576
mnaA,mnaA_seq10.pdb,mnaA_seq5.pdb,0.68434
mnaA,mnaA_seq10.pdb,mnaA_seq8.pdb,0.55771
mnaA,mnaA_seq10.pdb,mnaA_seq7.pdb,0.53177
mnaA,mnaA_seq10.pdb,mnaA_seq12.pdb,0.83794
mnaA,mnaA_seq10.pdb,mnaA_seq11.pdb,0.83077
mnaA,mnaA_seq10.pdb,mnaA_seq0.pdb,0.72869
mnaA,mnaA_seq10.pdb,mnaA_seq13.pdb,0.54445
mnaA,mnaA_seq10.pdb,mnaA_seq4.pdb,0.88049
mnaA,mnaA_seq10.pdb,mnaA_seq6.pdb,0.51295
mnaA,mnaA_seq1.pdb,mnaA_seq5.pdb,0.61736
mnaA,mnaA_seq1.pdb,mnaA_seq8.pdb,0.48436
mnaA,mnaA_seq1.pdb,mnaA_seq7.pdb,0.51898
mnaA,mnaA_seq1.pdb,mnaA_seq12.pdb,0.78278
mnaA,mnaA_seq1.pdb,mnaA_seq11.pdb,0.69157
mnaA,mnaA_seq1.pdb,mnaA_seq0.pdb,0.67006
mnaA,mnaA_seq1.pdb,mnaA_seq13.pdb,0.52131
mnaA,mnaA_seq1.pdb,mnaA_seq4.pdb,0.75686
mnaA,mnaA_seq1.pdb,mnaA_seq6.pdb,0.48922
mnaA,mnaA_seq5.pdb,mnaA_seq8.pdb,0.53756
mnaA,mnaA_seq5.pdb,mnaA_seq7.pdb,0.54947
mnaA,mnaA_seq5.pdb,mnaA_seq12.pdb,0.60489
mnaA,mnaA_seq5.pdb,mnaA_seq11.pdb,0.69875
mnaA,mnaA_seq5.pdb,mnaA_seq0.pdb,0.76799
mnaA,mnaA_seq5.pdb,mnaA_seq13.pdb,0.60161
mnaA,mnaA_seq5.pdb,mnaA_seq4.pdb,0.66336
mnaA,mnaA_seq5.pdb,mnaA_seq6.pdb,0.51685
mnaA,mnaA_seq8.pdb,mnaA_seq7.pdb,0.41359
mnaA,mnaA_seq8.pdb,mnaA_seq12.pdb,0.54386
mnaA,mnaA_seq8.pdb,mnaA_seq11.pdb,0.55319
mnaA,mnaA_seq8.pdb,mnaA_seq0.pdb,0.5524
mnaA,mnaA_seq8.pdb,mnaA_seq13.pdb,0.44563
mnaA,mnaA_seq8.pdb,mnaA_seq4.pdb,0.52688
mnaA,mnaA_seq8.pdb,mnaA_seq6.pdb,0.5309
mnaA,mnaA_seq7.pdb,mnaA_seq12.pdb,0.4789
mnaA,mnaA_seq7.pdb,mnaA_seq11.pdb,0.51906
mnaA,mnaA_seq7.pdb,mnaA_seq0.pdb,0.53032
mnaA,mnaA_seq7.pdb,mnaA_seq13.pdb,0.68872
mnaA,mnaA_seq7.pdb,mnaA_seq4.pdb,0.51889
mnaA,mnaA_seq7.pdb,mnaA_seq6.pdb,0.55703
mnaA,mnaA_seq12.pdb,mnaA_seq11.pdb,0.74536
mnaA,mnaA_seq12.pdb,mnaA_seq0.pdb,0.63762
mnaA,mnaA_seq12.pdb,mnaA_seq13.pdb,0.49756
mnaA,mnaA_seq12.pdb,mnaA_seq4.pdb,0.8512
mnaA,mnaA_seq12.pdb,mnaA_seq6.pdb,0.47238
mnaA,mnaA_seq11.pdb,mnaA_seq0.pdb,0.69055
mnaA,mnaA_seq11.pdb,mnaA_seq13.pdb,0.56914
mnaA,mnaA_seq11.pdb,mnaA_seq4.pdb,0.82692
mnaA,mnaA_seq11.pdb,mnaA_seq6.pdb,0.51807
mnaA,mnaA_seq0.pdb,mnaA_seq13.pdb,0.56203
mnaA,mnaA_seq0.pdb,mnaA_seq4.pdb,0.68848
mnaA,mnaA_seq0.pdb,mnaA_seq6.pdb,0.48806
mnaA,mnaA_seq13.pdb,mnaA_seq4.pdb,0.52414
mnaA,mnaA_seq13.pdb,mnaA_seq6.pdb,0.52891
mnaA,mnaA_seq4.pdb,mnaA_seq6.pdb,0.49155
wcyH,wcyH_seq1.pdb,wcyH_seq0.pdb,0.36715
wciX,wciX_seq2.pdb,wciX_seq1.pdb,0.31985
wciX,wciX_seq2.pdb,wciX_seq0.pdb,0.44257
wciX,wciX_seq1.pdb,wciX_seq0.pdb,0.32499
wcyA,wcyA_seq1.pdb,wcyA_seq0.pdb,0.69975
wcyC,wcyC_seq1.pdb,wcyC_seq0.pdb,0.81402
wchA,wchA_seq61.pdb,wchA_seq25.pdb,0.50875
wchA,wchA_seq61.pdb,wchA_seq4.pdb,0.55378
wchA,wchA_seq61.pdb,wchA_seq51.pdb,0.31844
wchA,wchA_seq61.pdb,wchA_seq29.pdb,0.36992
wchA,wchA_seq61.pdb,wchA_seq21.pdb,0.46585
wchA,wchA_seq61.pdb,wchA_seq15.pdb,0.43151
wchA,wchA_seq61.pdb,wchA_seq46.pdb,0.40013
wchA,wchA_seq61.pdb,wchA_seq48.pdb,0.54894
wchA,wchA_seq61.pdb,wchA_seq28.pdb,0.51008
wchA,wchA_seq61.pdb,wchA_seq36.pdb,0.41316
wchA,wchA_seq61.pdb,wchA_seq10.pdb,0.38451
wchA,wchA_seq61.pdb,wchA_seq8.pdb,0.30323
wchA,wchA_seq61.pdb,wchA_seq23.pdb,0.40789
wchA,wchA_seq61.pdb,wchA_seq5.pdb,0.59237
wchA,wchA_seq61.pdb,wchA_seq27.pdb,0.40248
wchA,wchA_seq61.pdb,wchA_seq14.pdb,0.37163
wchA,wchA_seq61.pdb,wchA_seq47.pdb,0.28672
wchA,wchA_seq61.pdb,wchA_seq39.pdb,0.42636
wchA,wchA_seq61.pdb,wchA_seq17.pdb,0.36624
wchA,wchA_seq61.pdb,wchA_seq6.pdb,0.52573
wchA,wchA_seq61.pdb,wchA_seq2.pdb,0.35998
wchA,wchA_seq61.pdb,wchA_seq53.pdb,0.42783
wchA,wchA_seq61.pdb,wchA_seq41.pdb,0.44109
wchA,wchA_seq61.pdb,wchA_seq1.pdb,0.38086
wchA,wchA_seq61.pdb,wchA_seq55.pdb,0.2693
wchA,wchA_seq61.pdb,wchA_seq22.pdb,0.50009
wchA,wchA_seq61.pdb,wchA_seq11.pdb,0.42002
wchA,wchA_seq61.pdb,wchA_seq50.pdb,0.43821
wchA,wchA_seq61.pdb,wchA_seq26.pdb,0.43946
wchA,wchA_seq61.pdb,wchA_seq0.pdb,0.4602
wchA,wchA_seq61.pdb,wchA_seq43.pdb,0.33753
wchA,wchA_seq61.pdb,wchA_seq35.pdb,0.41162
wchA,wchA_seq61.pdb,wchA_seq56.pdb,0.36632
wchA,wchA_seq61.pdb,wchA_seq9.pdb,0.43231
wchA,wchA_seq61.pdb,wchA_seq24.pdb,0.43809
wchA,wchA_seq61.pdb,wchA_seq58.pdb,0.49411
wchA,wchA_seq61.pdb,wchA_seq60.pdb,0.36052
wchA,wchA_seq61.pdb,wchA_seq44.pdb,0.47062
wchA,wchA_seq61.pdb,wchA_seq30.pdb,0.50271
wchA,wchA_seq61.pdb,wchA_seq18.pdb,0.4707
wchA,wchA_seq61.pdb,wchA_seq32.pdb,0.46904
wchA,wchA_seq61.pdb,wchA_seq65.pdb,0.51301
wchA,wchA_seq61.pdb,wchA_seq3.pdb,0.39655
wchA,wchA_seq61.pdb,wchA_seq33.pdb,0.38452
wchA,wchA_seq61.pdb,wchA_seq16.pdb,0.36385
wchA,wchA_seq61.pdb,wchA_seq38.pdb,0.38594
wchA,wchA_seq61.pdb,wchA_seq12.pdb,0.36888
wchA,wchA_seq61.pdb,wchA_seq49.pdb,0.45452
wchA,wchA_seq61.pdb,wchA_seq63.pdb,0.35969
wchA,wchA_seq61.pdb,wchA_seq34.pdb,0.40823
wchA,wchA_seq61.pdb,wchA_seq20.pdb,0.36478
wchA,wchA_seq61.pdb,wchA_seq37.pdb,0.41725
wchA,wchA_seq61.pdb,wchA_seq45.pdb,0.57353
wchA,wchA_seq61.pdb,wchA_seq40.pdb,0.4512
wchA,wchA_seq61.pdb,wchA_seq7.pdb,0.52315
wchA,wchA_seq61.pdb,wchA_seq52.pdb,0.37179
wchA,wchA_seq61.pdb,wchA_seq54.pdb,0.44456
wchA,wchA_seq61.pdb,wchA_seq64.pdb,0.4469
wchA,wchA_seq61.pdb,wchA_seq59.pdb,0.4866
wchA,wchA_seq61.pdb,wchA_seq42.pdb,0.38377
wchA,wchA_seq61.pdb,wchA_seq31.pdb,0.39485
wchA,wchA_seq61.pdb,wchA_seq62.pdb,0.36241
wchA,wchA_seq61.pdb,wchA_seq57.pdb,0.45175
wchA,wchA_seq61.pdb,wchA_seq19.pdb,0.5366
wchA,wchA_seq61.pdb,wchA_seq13.pdb,0.50534
wchA,wchA_seq25.pdb,wchA_seq4.pdb,0.54204
wchA,wchA_seq25.pdb,wchA_seq51.pdb,0.33403
wchA,wchA_seq25.pdb,wchA_seq29.pdb,0.43807
wchA,wchA_seq25.pdb,wchA_seq21.pdb,0.61333
wchA,wchA_seq25.pdb,wchA_seq15.pdb,0.40802
wchA,wchA_seq25.pdb,wchA_seq46.pdb,0.32081
wchA,wchA_seq25.pdb,wchA_seq48.pdb,0.58329
wchA,wchA_seq25.pdb,wchA_seq28.pdb,0.51685
wchA,wchA_seq25.pdb,wchA_seq36.pdb,0.39426
wchA,wchA_seq25.pdb,wchA_seq10.pdb,0.43609
wchA,wchA_seq25.pdb,wchA_seq8.pdb,0.34846
wchA,wchA_seq25.pdb,wchA_seq23.pdb,0.40409
wchA,wchA_seq25.pdb,wchA_seq5.pdb,0.48155
wchA,wchA_seq25.pdb,wchA_seq27.pdb,0.40154
wchA,wchA_seq25.pdb,wchA_seq14.pdb,0.38232
wchA,wchA_seq25.pdb,wchA_seq47.pdb,0.24528
wchA,wchA_seq25.pdb,wchA_seq39.pdb,0.37006
wchA,wchA_seq25.pdb,wchA_seq17.pdb,0.39907
wchA,wchA_seq25.pdb,wchA_seq6.pdb,0.46503
wchA,wchA_seq25.pdb,wchA_seq2.pdb,0.32419
wchA,wchA_seq25.pdb,wchA_seq53.pdb,0.39636
wchA,wchA_seq25.pdb,wchA_seq41.pdb,0.39804
wchA,wchA_seq25.pdb,wchA_seq1.pdb,0.37208
wchA,wchA_seq25.pdb,wchA_seq55.pdb,0.26787
wchA,wchA_seq25.pdb,wchA_seq22.pdb,0.61625
wchA,wchA_seq25.pdb,wchA_seq11.pdb,0.51143
wchA,wchA_seq25.pdb,wchA_seq50.pdb,0.40122
wchA,wchA_seq25.pdb,wchA_seq26.pdb,0.41522
wchA,wchA_seq25.pdb,wchA_seq0.pdb,0.40639
wchA,wchA_seq25.pdb,wchA_seq43.pdb,0.42216
wchA,wchA_seq25.pdb,wchA_seq35.pdb,0.42192
wchA,wchA_seq25.pdb,wchA_seq56.pdb,0.38358
wchA,wchA_seq25.pdb,wchA_seq9.pdb,0.46285
wchA,wchA_seq25.pdb,wchA_seq24.pdb,0.51121
wchA,wchA_seq25.pdb,wchA_seq58.pdb,0.41154
wchA,wchA_seq25.pdb,wchA_seq60.pdb,0.43164
wchA,wchA_seq25.pdb,wchA_seq44.pdb,0.53407
wchA,wchA_seq25.pdb,wchA_seq30.pdb,0.54061
wchA,wchA_seq25.pdb,wchA_seq18.pdb,0.58427
wchA,wchA_seq25.pdb,wchA_seq32.pdb,0.38383
wchA,wchA_seq25.pdb,wchA_seq65.pdb,0.4455
wchA,wchA_seq25.pdb,wchA_seq3.pdb,0.34905
wchA,wchA_seq25.pdb,wchA_seq33.pdb,0.46332
wchA,wchA_seq25.pdb,wchA_seq16.pdb,0.34886
wchA,wchA_seq25.pdb,wchA_seq38.pdb,0.37122
wchA,wchA_seq25.pdb,wchA_seq12.pdb,0.39476
wchA,wchA_seq25.pdb,wchA_seq49.pdb,0.36834
wchA,wchA_seq25.pdb,wchA_seq63.pdb,0.33408
wchA,wchA_seq25.pdb,wchA_seq34.pdb,0.39609
wchA,wchA_seq25.pdb,wchA_seq20.pdb,0.34174
wchA,wchA_seq25.pdb,wchA_seq37.pdb,0.3745
wchA,wchA_seq25.pdb,wchA_seq45.pdb,0.43574
wchA,wchA_seq25.pdb,wchA_seq40.pdb,0.47958
wchA,wchA_seq25.pdb,wchA_seq7.pdb,0.47683
wchA,wchA_seq25.pdb,wchA_seq52.pdb,0.36565
wchA,wchA_seq25.pdb,wchA_seq54.pdb,0.42947
wchA,wchA_seq25.pdb,wchA_seq64.pdb,0.40086
wchA,wchA_seq25.pdb,wchA_seq59.pdb,0.39145
wchA,wchA_seq25.pdb,wchA_seq42.pdb,0.32757
wchA,wchA_seq25.pdb,wchA_seq31.pdb,0.48489
wchA,wchA_seq25.pdb,wchA_seq62.pdb,0.34224
wchA,wchA_seq25.pdb,wchA_seq57.pdb,0.44861
wchA,wchA_seq25.pdb,wchA_seq19.pdb,0.5029
wchA,wchA_seq25.pdb,wchA_seq13.pdb,0.35369
wchA,wchA_seq4.pdb,wchA_seq51.pdb,0.32329
wchA,wchA_seq4.pdb,wchA_seq29.pdb,0.37579
wchA,wchA_seq4.pdb,wchA_seq21.pdb,0.48883
wchA,wchA_seq4.pdb,wchA_seq15.pdb,0.44198
wchA,wchA_seq4.pdb,wchA_seq46.pdb,0.41524
wchA,wchA_seq4.pdb,wchA_seq48.pdb,0.68607
wchA,wchA_seq4.pdb,wchA_seq28.pdb,0.45487
wchA,wchA_seq4.pdb,wchA_seq36.pdb,0.3661
wchA,wchA_seq4.pdb,wchA_seq10.pdb,0.39377
wchA,wchA_seq4.pdb,wchA_seq8.pdb,0.30761
wchA,wchA_seq4.pdb,wchA_seq23.pdb,0.38583
wchA,wchA_seq4.pdb,wchA_seq5.pdb,0.52658
wchA,wchA_seq4.pdb,wchA_seq27.pdb,0.3919
wchA,wchA_seq4.pdb,wchA_seq14.pdb,0.38534
wchA,wchA_seq4.pdb,wchA_seq47.pdb,0.28378
wchA,wchA_seq4.pdb,wchA_seq39.pdb,0.43319
wchA,wchA_seq4.pdb,wchA_seq17.pdb,0.38351
wchA,wchA_seq4.pdb,wchA_seq6.pdb,0.49687
wchA,wchA_seq4.pdb,wchA_seq2.pdb,0.35448
wchA,wchA_seq4.pdb,wchA_seq53.pdb,0.42196
wchA,wchA_seq4.pdb,wchA_seq41.pdb,0.43821
wchA,wchA_seq4.pdb,wchA_seq1.pdb,0.36004
wchA,wchA_seq4.pdb,wchA_seq55.pdb,0.26801
wchA,wchA_seq4.pdb,wchA_seq22.pdb,0.60175
wchA,wchA_seq4.pdb,wchA_seq11.pdb,0.46398
wchA,wchA_seq4.pdb,wchA_seq50.pdb,0.44198
wchA,wchA_seq4.pdb,wchA_seq26.pdb,0.42523
wchA,wchA_seq4.pdb,wchA_seq0.pdb,0.422
wchA,wchA_seq4.pdb,wchA_seq43.pdb,0.35694
wchA,wchA_seq4.pdb,wchA_seq35.pdb,0.38821
wchA,wchA_seq4.pdb,wchA_seq56.pdb,0.36349
wchA,wchA_seq4.pdb,wchA_seq9.pdb,0.47102
wchA,wchA_seq4.pdb,wchA_seq24.pdb,0.44834
wchA,wchA_seq4.pdb,wchA_seq58.pdb,0.48262
wchA,wchA_seq4.pdb,wchA_seq60.pdb,0.33309
wchA,wchA_seq4.pdb,wchA_seq44.pdb,0.50363
wchA,wchA_seq4.pdb,wchA_seq30.pdb,0.51292
wchA,wchA_seq4.pdb,wchA_seq18.pdb,0.53106
wchA,wchA_seq4.pdb,wchA_seq32.pdb,0.43866
wchA,wchA_seq4.pdb,wchA_seq65.pdb,0.50049
wchA,wchA_seq4.pdb,wchA_seq3.pdb,0.42964
wchA,wchA_seq4.pdb,wchA_seq33.pdb,0.37935
wchA,wchA_seq4.pdb,wchA_seq16.pdb,0.38892
wchA,wchA_seq4.pdb,wchA_seq38.pdb,0.39259
wchA,wchA_seq4.pdb,wchA_seq12.pdb,0.39857
wchA,wchA_seq4.pdb,wchA_seq49.pdb,0.41955
wchA,wchA_seq4.pdb,wchA_seq63.pdb,0.36579
wchA,wchA_seq4.pdb,wchA_seq34.pdb,0.39691
wchA,wchA_seq4.pdb,wchA_seq20.pdb,0.37447
wchA,wchA_seq4.pdb,wchA_seq37.pdb,0.42611
wchA,wchA_seq4.pdb,wchA_seq45.pdb,0.52847
wchA,wchA_seq4.pdb,wchA_seq40.pdb,0.45328
wchA,wchA_seq4.pdb,wchA_seq7.pdb,0.55127
wchA,wchA_seq4.pdb,wchA_seq52.pdb,0.34051
wchA,wchA_seq4.pdb,wchA_seq54.pdb,0.44647
wchA,wchA_seq4.pdb,wchA_seq64.pdb,0.40634
wchA,wchA_seq4.pdb,wchA_seq59.pdb,0.43082
wchA,wchA_seq4.pdb,wchA_seq42.pdb,0.36304
wchA,wchA_seq4.pdb,wchA_seq31.pdb,0.46251
wchA,wchA_seq4.pdb,wchA_seq62.pdb,0.3737
wchA,wchA_seq4.pdb,wchA_seq57.pdb,0.47246
wchA,wchA_seq4.pdb,wchA_seq19.pdb,0.51623
wchA,wchA_seq4.pdb,wchA_seq13.pdb,0.41675
wchA,wchA_seq51.pdb,wchA_seq29.pdb,0.3586
wchA,wchA_seq51.pdb,wchA_seq21.pdb,0.29576
wchA,wchA_seq51.pdb,wchA_seq15.pdb,0.38733
wchA,wchA_seq51.pdb,wchA_seq46.pdb,0.39932
wchA,wchA_seq51.pdb,wchA_seq48.pdb,0.28325
wchA,wchA_seq51.pdb,wchA_seq28.pdb,0.32153
wchA,wchA_seq51.pdb,wchA_seq36.pdb,0.28181
wchA,wchA_seq51.pdb,wchA_seq10.pdb,0.28987
wchA,wchA_seq51.pdb,wchA_seq8.pdb,0.28037
wchA,wchA_seq51.pdb,wchA_seq23.pdb,0.43824
wchA,wchA_seq51.pdb,wchA_seq5.pdb,0.35644
wchA,wchA_seq51.pdb,wchA_seq27.pdb,0.32199
wchA,wchA_seq51.pdb,wchA_seq14.pdb,0.39132
wchA,wchA_seq51.pdb,wchA_seq47.pdb,0.25508
wchA,wchA_seq51.pdb,wchA_seq39.pdb,0.33486
wchA,wchA_seq51.pdb,wchA_seq17.pdb,0.36093
wchA,wchA_seq51.pdb,wchA_seq6.pdb,0.34729
wchA,wchA_seq51.pdb,wchA_seq2.pdb,0.3646
wchA,wchA_seq51.pdb,wchA_seq53.pdb,0.35765
wchA,wchA_seq51.pdb,wchA_seq41.pdb,0.40662
wchA,wchA_seq51.pdb,wchA_seq1.pdb,0.3382
wchA,wchA_seq51.pdb,wchA_seq55.pdb,0.26807
wchA,wchA_seq51.pdb,wchA_seq22.pdb,0.36499
wchA,wchA_seq51.pdb,wchA_seq11.pdb,0.32371
wchA,wchA_seq51.pdb,wchA_seq50.pdb,0.27744
wchA,wchA_seq51.pdb,wchA_seq26.pdb,0.40119
wchA,wchA_seq51.pdb,wchA_seq0.pdb,0.32465
wchA,wchA_seq51.pdb,wchA_seq43.pdb,0.31194
wchA,wchA_seq51.pdb,wchA_seq35.pdb,0.30515
wchA,wchA_seq51.pdb,wchA_seq56.pdb,0.33114
wchA,wchA_seq51.pdb,wchA_seq9.pdb,0.33331
wchA,wchA_seq51.pdb,wchA_seq24.pdb,0.28682
wchA,wchA_seq51.pdb,wchA_seq58.pdb,0.31961
wchA,wchA_seq51.pdb,wchA_seq60.pdb,0.37713
wchA,wchA_seq51.pdb,wchA_seq44.pdb,0.32727
wchA,wchA_seq51.pdb,wchA_seq30.pdb,0.33916
wchA,wchA_seq51.pdb,wchA_seq18.pdb,0.30569
wchA,wchA_seq51.pdb,wchA_seq32.pdb,0.3394
wchA,wchA_seq51.pdb,wchA_seq65.pdb,0.3234
wchA,wchA_seq51.pdb,wchA_seq3.pdb,0.45691
wchA,wchA_seq51.pdb,wchA_seq33.pdb,0.34159
wchA,wchA_seq51.pdb,wchA_seq16.pdb,0.30618
wchA,wchA_seq51.pdb,wchA_seq38.pdb,0.29749
wchA,wchA_seq51.pdb,wchA_seq12.pdb,0.37648
wchA,wchA_seq51.pdb,wchA_seq49.pdb,0.36854
wchA,wchA_seq51.pdb,wchA_seq63.pdb,0.31043
wchA,wchA_seq51.pdb,wchA_seq34.pdb,0.35241
wchA,wchA_seq51.pdb,wchA_seq20.pdb,0.3454
wchA,wchA_seq51.pdb,wchA_seq37.pdb,0.35761
wchA,wchA_seq51.pdb,wchA_seq45.pdb,0.31489
wchA,wchA_seq51.pdb,wchA_seq40.pdb,0.30803
wchA,wchA_seq51.pdb,wchA_seq7.pdb,0.32583
wchA,wchA_seq51.pdb,wchA_seq52.pdb,0.3137
wchA,wchA_seq51.pdb,wchA_seq54.pdb,0.40689
wchA,wchA_seq51.pdb,wchA_seq64.pdb,0.29245
wchA,wchA_seq51.pdb,wchA_seq59.pdb,0.31635
wchA,wchA_seq51.pdb,wchA_seq42.pdb,0.4076
wchA,wchA_seq51.pdb,wchA_seq31.pdb,0.33516
wchA,wchA_seq51.pdb,wchA_seq62.pdb,0.45338
wchA,wchA_seq51.pdb,wchA_seq57.pdb,0.31337
wchA,wchA_seq51.pdb,wchA_seq19.pdb,0.29846
wchA,wchA_seq51.pdb,wchA_seq13.pdb,0.34427
wchA,wchA_seq29.pdb,wchA_seq21.pdb,0.54614
wchA,wchA_seq29.pdb,wchA_seq15.pdb,0.36626
wchA,wchA_seq29.pdb,wchA_seq46.pdb,0.31492
wchA,wchA_seq29.pdb,wchA_seq48.pdb,0.3797
wchA,wchA_seq29.pdb,wchA_seq28.pdb,0.48336
wchA,wchA_seq29.pdb,wchA_seq36.pdb,0.36676
wchA,wchA_seq29.pdb,wchA_seq10.pdb,0.49928
wchA,wchA_seq29.pdb,wchA_seq8.pdb,0.37332
wchA,wchA_seq29.pdb,wchA_seq23.pdb,0.33088
wchA,wchA_seq29.pdb,wchA_seq5.pdb,0.37378
wchA,wchA_seq29.pdb,wchA_seq27.pdb,0.39309
wchA,wchA_seq29.pdb,wchA_seq14.pdb,0.3245
wchA,wchA_seq29.pdb,wchA_seq47.pdb,0.23883
wchA,wchA_seq29.pdb,wchA_seq39.pdb,0.36272
wchA,wchA_seq29.pdb,wchA_seq17.pdb,0.35063
wchA,wchA_seq29.pdb,wchA_seq6.pdb,0.36217
wchA,wchA_seq29.pdb,wchA_seq2.pdb,0.34373
wchA,wchA_seq29.pdb,wchA_seq53.pdb,0.36273
wchA,wchA_seq29.pdb,wchA_seq41.pdb,0.35456
wchA,wchA_seq29.pdb,wchA_seq1.pdb,0.33335
wchA,wchA_seq29.pdb,wchA_seq55.pdb,0.2553
wchA,wchA_seq29.pdb,wchA_seq22.pdb,0.44904
wchA,wchA_seq29.pdb,wchA_seq11.pdb,0.59561
wchA,wchA_seq29.pdb,wchA_seq50.pdb,0.34633
wchA,wchA_seq29.pdb,wchA_seq26.pdb,0.34842
wchA,wchA_seq29.pdb,wchA_seq0.pdb,0.34338
wchA,wchA_seq29.pdb,wchA_seq43.pdb,0.5749
wchA,wchA_seq29.pdb,wchA_seq35.pdb,0.34211
wchA,wchA_seq29.pdb,wchA_seq56.pdb,0.48387
wchA,wchA_seq29.pdb,wchA_seq9.pdb,0.34688
wchA,wchA_seq29.pdb,wchA_seq24.pdb,0.43644
wchA,wchA_seq29.pdb,wchA_seq58.pdb,0.3372
wchA,wchA_seq29.pdb,wchA_seq60.pdb,0.39599
wchA,wchA_seq29.pdb,wchA_seq44.pdb,0.4732
wchA,wchA_seq29.pdb,wchA_seq30.pdb,0.51782
wchA,wchA_seq29.pdb,wchA_seq18.pdb,0.47233
wchA,wchA_seq29.pdb,wchA_seq32.pdb,0.32927
wchA,wchA_seq29.pdb,wchA_seq65.pdb,0.35503
wchA,wchA_seq29.pdb,wchA_seq3.pdb,0.36461
wchA,wchA_seq29.pdb,wchA_seq33.pdb,0.57021
wchA,wchA_seq29.pdb,wchA_seq16.pdb,0.3689
wchA,wchA_seq29.pdb,wchA_seq38.pdb,0.35934
wchA,wchA_seq29.pdb,wchA_seq12.pdb,0.35407
wchA,wchA_seq29.pdb,wchA_seq49.pdb,0.36426
