gene,seq1,seq2,tm_score,sequence_identity,sequence_divergence,structural_divergence
wzg,wzg_seq19.pdb,wzg_seq11.pdb,0.39398,0.975051975051975,0.02494802494802495,0.60602
wzg,wzg_seq19.pdb,wzg_seq56.pdb,0.37028,0.95625,0.043749999999999956,0.6297200000000001
wzg,wzg_seq12.pdb,wzg_seq27.pdb,0.39377,0.9708333333333333,0.029166666666666674,0.60623
wzg,wzg_seq12.pdb,wzg_seq59.pdb,0.36743,0.9708333333333333,0.029166666666666674,0.6325700000000001
wzg,wzg_seq12.pdb,wzg_seq2.pdb,0.39304,0.954070981210856,0.045929018789144016,0.6069599999999999
wzg,wzg_seq12.pdb,wzg_seq14.pdb,0.39638,0.9708333333333333,0.029166666666666674,0.60362
wzg,wzg_seq12.pdb,wzg_seq38.pdb,0.37075,0.9645833333333333,0.03541666666666665,0.62925
wzg,wzg_seq12.pdb,wzg_seq40.pdb,0.37077,0.96875,0.03125,0.62923
wzg,wzg_seq12.pdb,wzg_seq6.pdb,0.36669,0.96875,0.03125,0.63331
wzg,wzg_seq12.pdb,wzg_seq24.pdb,0.3173,0.9666666666666667,0.033333333333333326,0.6827
wzg,wzg_seq12.pdb,wzg_seq22.pdb,0.34284,0.96875,0.03125,0.65716
wzg,wzg_seq12.pdb,wzg_seq9.pdb,0.37873,0.9708333333333333,0.029166666666666674,0.62127
wzg,wzg_seq12.pdb,wzg_seq50.pdb,0.35873,0.9875259875259875,0.012474012474012475,0.64127
wzg,wzg_seq12.pdb,wzg_seq60.pdb,0.38543,0.9708939708939709,0.029106029106029108,0.6145700000000001
wzg,wzg_seq12.pdb,wzg_seq25.pdb,0.34148,0.9666666666666667,0.033333333333333326,0.65852
wzg,wzg_seq12.pdb,wzg_seq10.pdb,0.37551,0.9667359667359667,0.033264033264033266,0.62449
wzg,wzg_seq12.pdb,wzg_seq51.pdb,0.37984,0.975,0.025000000000000022,0.62016
wzg,wzg_seq12.pdb,wzg_seq8.pdb,0.34958,0.96875,0.03125,0.65042
wzg,wzg_seq12.pdb,wzg_seq4.pdb,0.39273,0.96875,0.03125,0.60727
wzg,wzg_seq12.pdb,wzg_seq46.pdb,0.35542,0.9666666666666667,0.033333333333333326,0.6445799999999999
wzg,wzg_seq12.pdb,wzg_seq63.pdb,0.3766,0.96875,0.03125,0.6234
wzg,wzg_seq12.pdb,wzg_seq3.pdb,0.36082,0.9519832985386222,0.04801670146137782,0.6391800000000001
wzg,wzg_seq12.pdb,wzg_seq29.pdb,0.39883,0.9896049896049897,0.01039501039501034,0.60117
wzg,wzg_seq12.pdb,wzg_seq61.pdb,0.36281,0.9625,0.03749999999999998,0.6371899999999999
wzg,wzg_seq0.pdb,wzg_seq27.pdb,0.3576,0.9563409563409564,0.043659043659043606,0.6424000000000001
wzg,wzg_seq0.pdb,wzg_seq7.pdb,0.38603,0.9563409563409564,0.043659043659043606,0.61397
wzg,wzg_seq0.pdb,wzg_seq26.pdb,0.36567,0.9792099792099792,0.02079002079002079,0.6343300000000001
wzg,wzg_seq0.pdb,wzg_seq47.pdb,0.36569,0.975051975051975,0.02494802494802495,0.6343099999999999
wzg,wzg_seq0.pdb,wzg_seq38.pdb,0.36506,0.9521829521829522,0.047817047817047764,0.6349400000000001
wzg,wzg_seq0.pdb,wzg_seq43.pdb,0.33755,0.9542619542619543,0.04573804573804574,0.66245
wzg,wzg_seq0.pdb,wzg_seq9.pdb,0.38428,0.9542619542619543,0.04573804573804574,0.61572
wzg,wzg_seq0.pdb,wzg_seq15.pdb,0.39569,0.9563409563409564,0.043659043659043606,0.60431
wzg,wzg_seq0.pdb,wzg_seq42.pdb,0.32298,0.9604989604989606,0.03950103950103945,0.67702
wzg,wzg_seq0.pdb,wzg_seq21.pdb,0.36183,0.9542619542619543,0.04573804573804574,0.63817
wzg,wzg_seq0.pdb,wzg_seq32.pdb,0.37177,0.9667359667359667,0.033264033264033266,0.6282300000000001
wzg,wzg_seq0.pdb,wzg_seq16.pdb,0.39156,0.9501039501039501,0.0498960498960499,0.60844
wzg,wzg_seq0.pdb,wzg_seq39.pdb,0.36525,0.9584199584199584,0.04158004158004158,0.6347499999999999
wzg,wzg_seq0.pdb,wzg_seq25.pdb,0.36916,0.9563409563409564,0.043659043659043606,0.6308400000000001
wzg,wzg_seq0.pdb,wzg_seq49.pdb,0.39433,0.9584199584199584,0.04158004158004158,0.6056699999999999
wzg,wzg_seq0.pdb,wzg_seq33.pdb,0.39553,0.9501039501039501,0.0498960498960499,0.6044700000000001
wzg,wzg_seq0.pdb,wzg_seq8.pdb,0.39698,0.9563409563409564,0.043659043659043606,0.60302
wzg,wzg_seq0.pdb,wzg_seq3.pdb,0.39497,0.9771309771309772,0.022869022869022815,0.60503
wzg,wzg_seq0.pdb,wzg_seq31.pdb,0.36704,0.9667359667359667,0.033264033264033266,0.63296
wzg,wzg_seq0.pdb,wzg_seq61.pdb,0.37838,0.9584199584199584,0.04158004158004158,0.6216200000000001
wzg,wzg_seq0.pdb,wzg_seq20.pdb,0.35218,0.9604989604989606,0.03950103950103945,0.6478200000000001
wzg,wzg_seq27.pdb,wzg_seq7.pdb,0.36501,0.9646569646569647,0.03534303534303529,0.6349899999999999
wzg,wzg_seq27.pdb,wzg_seq2.pdb,0.37304,0.9646569646569647,0.03534303534303529,0.62696
wzg,wzg_seq27.pdb,wzg_seq53.pdb,0.35242,0.9708333333333333,0.029166666666666674,0.64758
wzg,wzg_seq27.pdb,wzg_seq40.pdb,0.3591,0.9812889812889813,0.018711018711018657,0.6409
wzg,wzg_seq27.pdb,wzg_seq45.pdb,0.35696,0.9625779625779626,0.037422037422037424,0.6430400000000001
wzg,wzg_seq27.pdb,wzg_seq22.pdb,0.34091,0.9854469854469855,0.014553014553014498,0.65909
wzg,wzg_seq27.pdb,wzg_seq43.pdb,0.39594,0.975051975051975,0.02494802494802495,0.60406
wzg,wzg_seq27.pdb,wzg_seq42.pdb,0.34762,0.9854469854469855,0.014553014553014498,0.65238
wzg,wzg_seq27.pdb,wzg_seq50.pdb,0.38994,0.9666666666666667,0.033333333333333326,0.61006
wzg,wzg_seq27.pdb,wzg_seq16.pdb,0.39544,0.9854469854469855,0.014553014553014498,0.60456
wzg,wzg_seq27.pdb,wzg_seq34.pdb,0.36883,0.9542619542619543,0.04573804573804574,0.63117
wzg,wzg_seq27.pdb,wzg_seq49.pdb,0.32534,0.9833679833679834,0.016632016632016633,0.67466
wzg,wzg_seq27.pdb,wzg_seq13.pdb,0.36259,0.9625,0.03749999999999998,0.63741
wzg,wzg_seq27.pdb,wzg_seq10.pdb,0.34317,0.9854469854469855,0.014553014553014498,0.65683
wzg,wzg_seq27.pdb,wzg_seq51.pdb,0.38477,0.9875259875259875,0.012474012474012475,0.6152299999999999
wzg,wzg_seq27.pdb,wzg_seq37.pdb,0.3804,0.9667359667359667,0.033264033264033266,0.6195999999999999
wzg,wzg_seq27.pdb,wzg_seq4.pdb,0.36575,0.9792099792099792,0.02079002079002079,0.63425
wzg,wzg_seq27.pdb,wzg_seq46.pdb,0.3596,0.975051975051975,0.02494802494802495,0.6404000000000001
wzg,wzg_seq27.pdb,wzg_seq55.pdb,0.37632,0.9625779625779626,0.037422037422037424,0.62368
wzg,wzg_seq27.pdb,wzg_seq35.pdb,0.36124,0.9875259875259875,0.012474012474012475,0.63876
wzg,wzg_seq27.pdb,wzg_seq63.pdb,0.37535,0.9771309771309772,0.022869022869022815,0.6246499999999999
wzg,wzg_seq27.pdb,wzg_seq3.pdb,0.3584,0.9646569646569647,0.03534303534303529,0.6416
wzg,wzg_seq27.pdb,wzg_seq61.pdb,0.37715,0.9833679833679834,0.016632016632016633,0.62285
wzg,wzg_seq27.pdb,wzg_seq23.pdb,0.36931,0.9604989604989606,0.03950103950103945,0.63069
wzg,wzg_seq27.pdb,wzg_seq5.pdb,0.36674,0.9833679833679834,0.016632016632016633,0.6332599999999999
wzg,wzg_seq27.pdb,wzg_seq56.pdb,0.37021,0.9625,0.03749999999999998,0.6297900000000001
wzg,wzg_seq7.pdb,wzg_seq59.pdb,0.35445,0.9771309771309772,0.022869022869022815,0.6455500000000001
wzg,wzg_seq7.pdb,wzg_seq26.pdb,0.33253,0.9667359667359667,0.033264033264033266,0.66747
wzg,wzg_seq7.pdb,wzg_seq2.pdb,0.35107,0.9667359667359667,0.033264033264033266,0.64893
wzg,wzg_seq7.pdb,wzg_seq47.pdb,0.39065,0.9771309771309772,0.022869022869022815,0.6093500000000001
wzg,wzg_seq7.pdb,wzg_seq14.pdb,0.34961,0.9646569646569647,0.03534303534303529,0.65039
wzg,wzg_seq7.pdb,wzg_seq38.pdb,0.32887,0.9625779625779626,0.037422037422037424,0.67113
wzg,wzg_seq7.pdb,wzg_seq62.pdb,0.36799,0.95,0.050000000000000044,0.63201
wzg,wzg_seq7.pdb,wzg_seq45.pdb,0.3846,0.9667359667359667,0.033264033264033266,0.6154
wzg,wzg_seq7.pdb,wzg_seq22.pdb,0.33948,0.9708939708939709,0.029106029106029108,0.66052
wzg,wzg_seq7.pdb,wzg_seq9.pdb,0.38359,0.9646569646569647,0.03534303534303529,0.61641
wzg,wzg_seq7.pdb,wzg_seq42.pdb,0.34641,0.9708939708939709,0.029106029106029108,0.65359
wzg,wzg_seq7.pdb,wzg_seq21.pdb,0.39765,0.9625779625779626,0.037422037422037424,0.6023499999999999
wzg,wzg_seq7.pdb,wzg_seq25.pdb,0.37032,0.9688149688149689,0.03118503118503113,0.62968
wzg,wzg_seq7.pdb,wzg_seq54.pdb,0.34863,0.95,0.050000000000000044,0.65137
wzg,wzg_seq7.pdb,wzg_seq58.pdb,0.36809,0.9667359667359667,0.033264033264033266,0.63191
wzg,wzg_seq7.pdb,wzg_seq55.pdb,0.39408,0.9667359667359667,0.033264033264033266,0.60592
wzg,wzg_seq7.pdb,wzg_seq35.pdb,0.39106,0.972972972972973,0.027027027027026973,0.60894
wzg,wzg_seq7.pdb,wzg_seq63.pdb,0.39889,0.9625779625779626,0.037422037422037424,0.60111
wzg,wzg_seq7.pdb,wzg_seq31.pdb,0.39947,0.9563409563409564,0.043659043659043606,0.60053
wzg,wzg_seq7.pdb,wzg_seq61.pdb,0.32626,0.9646569646569647,0.03534303534303529,0.67374
wzg,wzg_seq7.pdb,wzg_seq20.pdb,0.38908,0.9625779625779626,0.037422037422037424,0.61092
wzg,wzg_seq7.pdb,wzg_seq23.pdb,0.34734,0.9646569646569647,0.03534303534303529,0.65266
wzg,wzg_seq59.pdb,wzg_seq26.pdb,0.39273,0.9646569646569647,0.03534303534303529,0.60727
wzg,wzg_seq59.pdb,wzg_seq2.pdb,0.34503,0.9646569646569647,0.03534303534303529,0.65497
wzg,wzg_seq59.pdb,wzg_seq47.pdb,0.29277,0.9792099792099792,0.02079002079002079,0.70723
wzg,wzg_seq59.pdb,wzg_seq14.pdb,0.34619,0.9833679833679834,0.016632016632016633,0.65381
wzg,wzg_seq59.pdb,wzg_seq40.pdb,0.39962,0.9854469854469855,0.014553014553014498,0.60038
wzg,wzg_seq59.pdb,wzg_seq62.pdb,0.36754,0.9604166666666667,0.039583333333333304,0.63246
wzg,wzg_seq59.pdb,wzg_seq24.pdb,0.33646,0.9833679833679834,0.016632016632016633,0.66354
wzg,wzg_seq59.pdb,wzg_seq45.pdb,0.38645,0.9646569646569647,0.03534303534303529,0.61355
wzg,wzg_seq59.pdb,wzg_seq22.pdb,0.30591,0.9854469854469855,0.014553014553014498,0.69409
wzg,wzg_seq59.pdb,wzg_seq42.pdb,0.3956,0.9854469854469855,0.014553014553014498,0.6044
wzg,wzg_seq59.pdb,wzg_seq60.pdb,0.36807,0.95,0.050000000000000044,0.63193
wzg,wzg_seq59.pdb,wzg_seq16.pdb,0.35257,0.9771309771309772,0.022869022869022815,0.64743
wzg,wzg_seq59.pdb,wzg_seq34.pdb,0.33932,0.9501039501039501,0.0498960498960499,0.6606799999999999
wzg,wzg_seq59.pdb,wzg_seq49.pdb,0.36487,0.9875259875259875,0.012474012474012475,0.63513
wzg,wzg_seq59.pdb,wzg_seq13.pdb,0.3942,0.9604166666666667,0.039583333333333304,0.6058
wzg,wzg_seq59.pdb,wzg_seq10.pdb,0.3295,0.9812889812889813,0.018711018711018657,0.6705
wzg,wzg_seq59.pdb,wzg_seq37.pdb,0.34186,0.9688149688149689,0.03118503118503113,0.65814
wzg,wzg_seq59.pdb,wzg_seq4.pdb,0.38507,0.9833679833679834,0.016632016632016633,0.61493
wzg,wzg_seq59.pdb,wzg_seq46.pdb,0.37855,0.9792099792099792,0.02079002079002079,0.6214500000000001
wzg,wzg_seq59.pdb,wzg_seq55.pdb,0.34317,0.9646569646569647,0.03534303534303529,0.65683
wzg,wzg_seq59.pdb,wzg_seq35.pdb,0.32783,0.9833679833679834,0.016632016632016633,0.6721699999999999
wzg,wzg_seq59.pdb,wzg_seq63.pdb,0.35816,0.9812889812889813,0.018711018711018657,0.64184
wzg,wzg_seq59.pdb,wzg_seq3.pdb,0.33817,0.9625779625779626,0.037422037422037424,0.6618299999999999
wzg,wzg_seq59.pdb,wzg_seq29.pdb,0.39822,0.96875,0.03125,0.60178
wzg,wzg_seq59.pdb,wzg_seq31.pdb,0.38618,0.9542619542619543,0.04573804573804574,0.61382
wzg,wzg_seq59.pdb,wzg_seq23.pdb,0.34252,0.9625779625779626,0.037422037422037424,0.6574800000000001
wzg,wzg_seq59.pdb,wzg_seq5.pdb,0.38612,0.9792099792099792,0.02079002079002079,0.61388
wzg,wzg_seq59.pdb,wzg_seq56.pdb,0.35706,0.9625,0.03749999999999998,0.6429400000000001
wzg,wzg_seq26.pdb,wzg_seq2.pdb,0.32693,0.9875259875259875,0.012474012474012475,0.6730700000000001
wzg,wzg_seq26.pdb,wzg_seq47.pdb,0.35764,0.972972972972973,0.027027027027026973,0.64236
wzg,wzg_seq26.pdb,wzg_seq14.pdb,0.38582,0.9667359667359667,0.033264033264033266,0.61418
wzg,wzg_seq26.pdb,wzg_seq40.pdb,0.3654,0.9708939708939709,0.029106029106029108,0.6346
wzg,wzg_seq26.pdb,wzg_seq45.pdb,0.36567,1.0,0.0,0.6343300000000001
wzg,wzg_seq26.pdb,wzg_seq22.pdb,0.34199,0.972972972972973,0.027027027027026973,0.65801
wzg,wzg_seq26.pdb,wzg_seq43.pdb,0.3965,0.9646569646569647,0.03534303534303529,0.6034999999999999
wzg,wzg_seq26.pdb,wzg_seq42.pdb,0.37471,0.972972972972973,0.027027027027026973,0.62529
wzg,wzg_seq26.pdb,wzg_seq16.pdb,0.344,0.9563409563409564,0.043659043659043606,0.656
wzg,wzg_seq26.pdb,wzg_seq49.pdb,0.38408,0.9646569646569647,0.03534303534303529,0.61592
wzg,wzg_seq26.pdb,wzg_seq58.pdb,0.35148,0.9625779625779626,0.037422037422037424,0.64852
wzg,wzg_seq26.pdb,wzg_seq10.pdb,0.36004,0.9584199584199584,0.04158004158004158,0.63996
wzg,wzg_seq26.pdb,wzg_seq51.pdb,0.38541,0.9688149688149689,0.03118503118503113,0.61459
wzg,wzg_seq26.pdb,wzg_seq37.pdb,0.33875,0.9916839916839917,0.008316008316008316,0.66125
wzg,wzg_seq26.pdb,wzg_seq4.pdb,0.34426,0.9604989604989606,0.03950103950103945,0.65574
wzg,wzg_seq26.pdb,wzg_seq46.pdb,0.32468,0.9646569646569647,0.03534303534303529,0.6753199999999999
wzg,wzg_seq26.pdb,wzg_seq55.pdb,0.37848,0.9916839916839917,0.008316008316008316,0.6215200000000001
wzg,wzg_seq26.pdb,wzg_seq35.pdb,0.35199,0.975051975051975,0.02494802494802495,0.64801
wzg,wzg_seq26.pdb,wzg_seq3.pdb,0.35274,0.9854469854469855,0.014553014553014498,0.64726
wzg,wzg_seq26.pdb,wzg_seq61.pdb,0.33862,0.9625779625779626,0.037422037422037424,0.6613800000000001
wzg,wzg_seq26.pdb,wzg_seq23.pdb,0.38427,0.9896049896049897,0.01039501039501034,0.61573
wzg,wzg_seq26.pdb,wzg_seq11.pdb,0.39883,0.9584199584199584,0.04158004158004158,0.60117
wzg,wzg_seq26.pdb,wzg_seq5.pdb,0.32949,0.9625779625779626,0.037422037422037424,0.6705099999999999
wzg,wzg_seq2.pdb,wzg_seq47.pdb,0.35981,0.972972972972973,0.027027027027026973,0.64019
wzg,wzg_seq2.pdb,wzg_seq38.pdb,0.37583,0.9563409563409564,0.043659043659043606,0.62417
wzg,wzg_seq2.pdb,wzg_seq6.pdb,0.39396,0.9667359667359667,0.033264033264033266,0.60604
wzg,wzg_seq2.pdb,wzg_seq22.pdb,0.35842,0.9688149688149689,0.03118503118503113,0.64158
wzg,wzg_seq2.pdb,wzg_seq43.pdb,0.3238,0.9584199584199584,0.04158004158004158,0.6762
wzg,wzg_seq2.pdb,wzg_seq9.pdb,0.38211,0.9625779625779626,0.037422037422037424,0.61789
wzg,wzg_seq2.pdb,wzg_seq15.pdb,0.37637,0.9604989604989606,0.03950103950103945,0.62363
wzg,wzg_seq2.pdb,wzg_seq42.pdb,0.36419,0.9688149688149689,0.03118503118503113,0.63581
wzg,wzg_seq2.pdb,wzg_seq21.pdb,0.38222,0.9563409563409564,0.043659043659043606,0.61778
wzg,wzg_seq2.pdb,wzg_seq32.pdb,0.38735,0.9771309771309772,0.022869022869022815,0.6126499999999999
wzg,wzg_seq2.pdb,wzg_seq16.pdb,0.37365,0.9584199584199584,0.04158004158004158,0.62635
wzg,wzg_seq2.pdb,wzg_seq39.pdb,0.34311,0.9667359667359667,0.033264033264033266,0.65689
wzg,wzg_seq2.pdb,wzg_seq25.pdb,0.35377,0.9688149688149689,0.03118503118503113,0.6462300000000001
wzg,wzg_seq2.pdb,wzg_seq58.pdb,0.39598,0.9625779625779626,0.037422037422037424,0.60402
wzg,wzg_seq2.pdb,wzg_seq10.pdb,0.39282,0.9604989604989606,0.03950103950103945,0.60718
wzg,wzg_seq2.pdb,wzg_seq33.pdb,0.34773,0.9584199584199584,0.04158004158004158,0.65227
wzg,wzg_seq2.pdb,wzg_seq30.pdb,0.34864,0.9688149688149689,0.03118503118503113,0.6513599999999999
wzg,wzg_seq2.pdb,wzg_seq8.pdb,0.39503,0.9604989604989606,0.03950103950103945,0.60497
wzg,wzg_seq2.pdb,wzg_seq46.pdb,0.34447,0.9584199584199584,0.04158004158004158,0.65553
wzg,wzg_seq2.pdb,wzg_seq3.pdb,0.38253,0.9916839916839917,0.008316008316008316,0.61747
wzg,wzg_seq2.pdb,wzg_seq31.pdb,0.36383,0.9771309771309772,0.022869022869022815,0.63617
wzg,wzg_seq2.pdb,wzg_seq61.pdb,0.37154,0.9604989604989606,0.03950103950103945,0.62846
wzg,wzg_seq2.pdb,wzg_seq20.pdb,0.39802,0.9584199584199584,0.04158004158004158,0.60198
wzg,wzg_seq2.pdb,wzg_seq11.pdb,0.39116,0.9604989604989606,0.03950103950103945,0.60884
wzg,wzg_seq47.pdb,wzg_seq38.pdb,0.3348,0.9708939708939709,0.029106029106029108,0.6652
wzg,wzg_seq47.pdb,wzg_seq53.pdb,0.39141,0.9583333333333334,0.04166666666666663,0.60859
wzg,wzg_seq47.pdb,wzg_seq6.pdb,0.38005,0.9771309771309772,0.022869022869022815,0.61995
wzg,wzg_seq47.pdb,wzg_seq62.pdb,0.37013,0.9645833333333333,0.03541666666666665,0.6298699999999999
wzg,wzg_seq47.pdb,wzg_seq24.pdb,0.37799,0.975051975051975,0.02494802494802495,0.62201
wzg,wzg_seq47.pdb,wzg_seq43.pdb,0.38008,0.972972972972973,0.027027027027026973,0.61992
wzg,wzg_seq47.pdb,wzg_seq9.pdb,0.33817,0.975051975051975,0.02494802494802495,0.6618299999999999
wzg,wzg_seq47.pdb,wzg_seq52.pdb,0.38547,0.9666666666666667,0.033333333333333326,0.61453
wzg,wzg_seq47.pdb,wzg_seq21.pdb,0.356,0.972972972972973,0.027027027027026973,0.644
wzg,wzg_seq47.pdb,wzg_seq25.pdb,0.31866,0.975051975051975,0.02494802494802495,0.6813400000000001
wzg,wzg_seq47.pdb,wzg_seq49.pdb,0.39609,0.9792099792099792,0.02079002079002079,0.60391
wzg,wzg_seq47.pdb,wzg_seq1.pdb,0.37828,0.9666666666666667,0.033333333333333326,0.62172
wzg,wzg_seq47.pdb,wzg_seq54.pdb,0.36465,0.9645833333333333,0.03541666666666665,0.6353500000000001
wzg,wzg_seq47.pdb,wzg_seq13.pdb,0.36797,0.9520833333333333,0.04791666666666672,0.63203
wzg,wzg_seq47.pdb,wzg_seq58.pdb,0.33021,0.9771309771309772,0.022869022869022815,0.66979
wzg,wzg_seq47.pdb,wzg_seq8.pdb,0.35757,0.9771309771309772,0.022869022869022815,0.6424300000000001
wzg,wzg_seq47.pdb,wzg_seq4.pdb,0.37373,0.975051975051975,0.02494802494802495,0.62627
wzg,wzg_seq47.pdb,wzg_seq63.pdb,0.3752,0.975051975051975,0.02494802494802495,0.6248
wzg,wzg_seq47.pdb,wzg_seq3.pdb,0.3949,0.9708939708939709,0.029106029106029108,0.6051
wzg,wzg_seq47.pdb,wzg_seq61.pdb,0.34141,0.975051975051975,0.02494802494802495,0.65859
wzg,wzg_seq47.pdb,wzg_seq20.pdb,0.34452,0.972972972972973,0.027027027027026973,0.6554800000000001
wzg,wzg_seq47.pdb,wzg_seq41.pdb,0.38006,0.9604166666666667,0.039583333333333304,0.6199399999999999
wzg,wzg_seq47.pdb,wzg_seq23.pdb,0.37494,0.9708939708939709,0.029106029106029108,0.62506
wzg,wzg_seq14.pdb,wzg_seq38.pdb,0.37183,0.9771309771309772,0.022869022869022815,0.62817
wzg,wzg_seq14.pdb,wzg_seq53.pdb,0.39467,0.9666666666666667,0.033333333333333326,0.6053299999999999
wzg,wzg_seq14.pdb,wzg_seq40.pdb,0.39723,0.9854469854469855,0.014553014553014498,0.60277
wzg,wzg_seq14.pdb,wzg_seq6.pdb,0.37375,0.9812889812889813,0.018711018711018657,0.62625
wzg,wzg_seq14.pdb,wzg_seq62.pdb,0.38748,0.9645833333333333,0.03541666666666665,0.61252
wzg,wzg_seq14.pdb,wzg_seq24.pdb,0.31664,0.9833679833679834,0.016632016632016633,0.68336
wzg,wzg_seq14.pdb,wzg_seq22.pdb,0.33253,0.9854469854469855,0.014553014553014498,0.66747
wzg,wzg_seq14.pdb,wzg_seq43.pdb,0.37319,0.9937629937629938,0.006237006237006182,0.62681
wzg,wzg_seq14.pdb,wzg_seq9.pdb,0.38554,0.9833679833679834,0.016632016632016633,0.61446
wzg,wzg_seq14.pdb,wzg_seq15.pdb,0.39946,1.0,0.0,0.6005400000000001
