gene,seq1,seq2,tm_score,sequence_identity
wzg,wzg_seq36.pdb,wzg_seq5.pdb,0.46779,0.9792099792099792
wzg,wzg_seq36.pdb,wzg_seq56.pdb,0.44553,0.9583333333333334
wzg,wzg_seq48.pdb,wzg_seq19.pdb,0.44096,0.96875
wzg,wzg_seq48.pdb,wzg_seq12.pdb,0.37496,0.9916839916839917
wzg,wzg_seq48.pdb,wzg_seq0.pdb,0.39999,0.9458333333333333
wzg,wzg_seq48.pdb,wzg_seq27.pdb,0.46626,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq7.pdb,0.39064,0.9520833333333333
wzg,wzg_seq48.pdb,wzg_seq59.pdb,0.54211,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq26.pdb,0.4371,0.9479166666666666
wzg,wzg_seq48.pdb,wzg_seq2.pdb,0.39234,0.954070981210856
wzg,wzg_seq48.pdb,wzg_seq47.pdb,0.34396,0.9666666666666667
wzg,wzg_seq48.pdb,wzg_seq14.pdb,0.36202,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq38.pdb,0.52412,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq53.pdb,0.43836,0.9916839916839917
wzg,wzg_seq48.pdb,wzg_seq18.pdb,0.3732,0.9355509355509356
wzg,wzg_seq48.pdb,wzg_seq40.pdb,0.37071,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq6.pdb,0.59755,0.96875
wzg,wzg_seq48.pdb,wzg_seq62.pdb,0.49112,0.9854469854469855
wzg,wzg_seq48.pdb,wzg_seq24.pdb,0.41408,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq45.pdb,0.33864,0.9479166666666666
wzg,wzg_seq48.pdb,wzg_seq22.pdb,0.343,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq43.pdb,0.43925,0.9666666666666667
wzg,wzg_seq48.pdb,wzg_seq9.pdb,0.55179,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq52.pdb,0.46978,1.0
wzg,wzg_seq48.pdb,wzg_seq15.pdb,0.43017,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq42.pdb,0.37695,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq21.pdb,0.51749,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq50.pdb,0.46719,0.9958419958419958
wzg,wzg_seq48.pdb,wzg_seq60.pdb,0.47072,0.972972972972973
wzg,wzg_seq48.pdb,wzg_seq32.pdb,0.55878,0.9375
wzg,wzg_seq48.pdb,wzg_seq16.pdb,0.40539,0.96875
wzg,wzg_seq48.pdb,wzg_seq39.pdb,0.43844,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq34.pdb,0.36069,0.95
wzg,wzg_seq48.pdb,wzg_seq25.pdb,0.4959,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq49.pdb,0.52563,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq1.pdb,0.50799,0.9875259875259875
wzg,wzg_seq48.pdb,wzg_seq54.pdb,0.53815,0.997920997920998
wzg,wzg_seq48.pdb,wzg_seq13.pdb,0.53898,0.9854469854469855
wzg,wzg_seq48.pdb,wzg_seq58.pdb,0.50836,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq10.pdb,0.35462,0.9667359667359667
wzg,wzg_seq48.pdb,wzg_seq51.pdb,0.54045,0.975
wzg,wzg_seq48.pdb,wzg_seq17.pdb,0.36399,0.9376299376299376
wzg,wzg_seq48.pdb,wzg_seq33.pdb,0.59337,0.96875
wzg,wzg_seq48.pdb,wzg_seq30.pdb,0.5362,0.93125
wzg,wzg_seq48.pdb,wzg_seq8.pdb,0.58343,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq44.pdb,0.32876,0.6841004184100419
wzg,wzg_seq48.pdb,wzg_seq37.pdb,0.36338,0.9520833333333333
wzg,wzg_seq48.pdb,wzg_seq4.pdb,0.38544,0.96875
wzg,wzg_seq48.pdb,wzg_seq46.pdb,0.35181,0.9666666666666667
wzg,wzg_seq48.pdb,wzg_seq55.pdb,0.4447,0.9479166666666666
wzg,wzg_seq48.pdb,wzg_seq57.pdb,0.24138,0.6841004184100419
wzg,wzg_seq48.pdb,wzg_seq28.pdb,0.70223,0.9854469854469855
wzg,wzg_seq48.pdb,wzg_seq35.pdb,0.36328,0.9666666666666667
wzg,wzg_seq48.pdb,wzg_seq63.pdb,0.36479,0.975
wzg,wzg_seq48.pdb,wzg_seq3.pdb,0.34729,0.9519832985386222
wzg,wzg_seq48.pdb,wzg_seq29.pdb,0.53395,0.997920997920998
wzg,wzg_seq48.pdb,wzg_seq31.pdb,0.40949,0.9375
wzg,wzg_seq48.pdb,wzg_seq61.pdb,0.51154,0.9708333333333333
wzg,wzg_seq48.pdb,wzg_seq20.pdb,0.57047,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq41.pdb,0.72643,0.9937629937629938
wzg,wzg_seq48.pdb,wzg_seq23.pdb,0.416,0.9458333333333333
wzg,wzg_seq48.pdb,wzg_seq11.pdb,0.43625,0.9729166666666667
wzg,wzg_seq48.pdb,wzg_seq5.pdb,0.37825,0.9583333333333334
wzg,wzg_seq48.pdb,wzg_seq56.pdb,0.42424,0.9812889812889813
wzg,wzg_seq19.pdb,wzg_seq12.pdb,0.45552,0.9645833333333333
wzg,wzg_seq19.pdb,wzg_seq0.pdb,0.3525,0.9501039501039501
wzg,wzg_seq19.pdb,wzg_seq27.pdb,0.54821,0.9854469854469855
wzg,wzg_seq19.pdb,wzg_seq7.pdb,0.39336,0.9584199584199584
wzg,wzg_seq19.pdb,wzg_seq59.pdb,0.44352,0.9771309771309772
wzg,wzg_seq19.pdb,wzg_seq26.pdb,0.39416,0.9563409563409564
wzg,wzg_seq19.pdb,wzg_seq2.pdb,0.34314,0.9584199584199584
wzg,wzg_seq19.pdb,wzg_seq47.pdb,0.36637,0.9688149688149689
wzg,wzg_seq19.pdb,wzg_seq14.pdb,0.3767,0.972972972972973
wzg,wzg_seq19.pdb,wzg_seq38.pdb,0.40683,0.975051975051975
wzg,wzg_seq19.pdb,wzg_seq53.pdb,0.37712,0.96875
wzg,wzg_seq19.pdb,wzg_seq18.pdb,0.41022,0.9438669438669439
wzg,wzg_seq19.pdb,wzg_seq40.pdb,0.38347,0.9792099792099792
wzg,wzg_seq19.pdb,wzg_seq6.pdb,0.45987,0.9833679833679834
wzg,wzg_seq19.pdb,wzg_seq62.pdb,0.35639,0.9583333333333334
wzg,wzg_seq19.pdb,wzg_seq24.pdb,0.36931,0.9792099792099792
wzg,wzg_seq19.pdb,wzg_seq45.pdb,0.33722,0.9563409563409564
wzg,wzg_seq19.pdb,wzg_seq22.pdb,0.34136,0.9833679833679834
wzg,wzg_seq19.pdb,wzg_seq43.pdb,0.46097,0.9688149688149689
wzg,wzg_seq19.pdb,wzg_seq9.pdb,0.45511,0.9771309771309772
wzg,wzg_seq19.pdb,wzg_seq52.pdb,0.4216,0.96875
wzg,wzg_seq19.pdb,wzg_seq15.pdb,0.46354,0.972972972972973
wzg,wzg_seq19.pdb,wzg_seq42.pdb,0.44756,0.9833679833679834
wzg,wzg_seq19.pdb,wzg_seq21.pdb,0.42499,0.975051975051975
wzg,wzg_seq19.pdb,wzg_seq50.pdb,0.39069,0.9645833333333333
wzg,wzg_seq19.pdb,wzg_seq60.pdb,0.35985,0.95
wzg,wzg_seq19.pdb,wzg_seq32.pdb,0.52945,0.9459459459459459
wzg,wzg_seq19.pdb,wzg_seq16.pdb,0.41831,1.0
wzg,wzg_seq19.pdb,wzg_seq39.pdb,0.47138,0.9792099792099792
wzg,wzg_seq19.pdb,wzg_seq34.pdb,0.41875,0.9646569646569647
wzg,wzg_seq19.pdb,wzg_seq25.pdb,0.40559,0.9792099792099792
wzg,wzg_seq19.pdb,wzg_seq49.pdb,0.41192,0.9771309771309772
wzg,wzg_seq19.pdb,wzg_seq1.pdb,0.47832,0.9604166666666667
wzg,wzg_seq19.pdb,wzg_seq54.pdb,0.4082,0.9666666666666667
wzg,wzg_seq19.pdb,wzg_seq13.pdb,0.42561,0.9604166666666667
wzg,wzg_seq19.pdb,wzg_seq58.pdb,0.39064,0.975051975051975
wzg,wzg_seq19.pdb,wzg_seq10.pdb,0.39041,0.975051975051975
wzg,wzg_seq19.pdb,wzg_seq51.pdb,0.44099,0.9812889812889813
wzg,wzg_seq19.pdb,wzg_seq17.pdb,0.36103,0.9459459459459459
wzg,wzg_seq19.pdb,wzg_seq33.pdb,0.50361,1.0
wzg,wzg_seq19.pdb,wzg_seq30.pdb,0.47713,0.9397089397089398
wzg,wzg_seq19.pdb,wzg_seq8.pdb,0.45575,0.975051975051975
wzg,wzg_seq19.pdb,wzg_seq44.pdb,0.29164,0.6784968684759917
wzg,wzg_seq19.pdb,wzg_seq37.pdb,0.38211,0.9604989604989606
wzg,wzg_seq19.pdb,wzg_seq4.pdb,0.42916,0.972972972972973
wzg,wzg_seq19.pdb,wzg_seq46.pdb,0.34539,0.9688149688149689
wzg,wzg_seq19.pdb,wzg_seq55.pdb,0.44207,0.9563409563409564
wzg,wzg_seq19.pdb,wzg_seq57.pdb,0.28554,0.6784968684759917
wzg,wzg_seq19.pdb,wzg_seq28.pdb,0.49017,0.9604166666666667
wzg,wzg_seq19.pdb,wzg_seq35.pdb,0.39198,0.9771309771309772
wzg,wzg_seq19.pdb,wzg_seq63.pdb,0.35726,0.975051975051975
wzg,wzg_seq19.pdb,wzg_seq3.pdb,0.31215,0.9584199584199584
wzg,wzg_seq19.pdb,wzg_seq29.pdb,0.52441,0.9666666666666667
wzg,wzg_seq19.pdb,wzg_seq31.pdb,0.44436,0.9459459459459459
wzg,wzg_seq19.pdb,wzg_seq61.pdb,0.48847,0.9812889812889813
wzg,wzg_seq19.pdb,wzg_seq20.pdb,0.47309,0.9708939708939709
wzg,wzg_seq19.pdb,wzg_seq41.pdb,0.53761,0.9708333333333333
wzg,wzg_seq19.pdb,wzg_seq23.pdb,0.41539,0.9542619542619543
wzg,wzg_seq19.pdb,wzg_seq11.pdb,0.39398,0.975051975051975
wzg,wzg_seq19.pdb,wzg_seq5.pdb,0.42117,0.972972972972973
wzg,wzg_seq19.pdb,wzg_seq56.pdb,0.37028,0.95625
wzg,wzg_seq12.pdb,wzg_seq0.pdb,0.32759,0.9416666666666667
wzg,wzg_seq12.pdb,wzg_seq27.pdb,0.39377,0.9708333333333333
wzg,wzg_seq12.pdb,wzg_seq7.pdb,0.41279,0.9520833333333333
wzg,wzg_seq12.pdb,wzg_seq59.pdb,0.36743,0.9708333333333333
wzg,wzg_seq12.pdb,wzg_seq26.pdb,0.4205,0.9479166666666666
wzg,wzg_seq12.pdb,wzg_seq2.pdb,0.39304,0.954070981210856
wzg,wzg_seq12.pdb,wzg_seq47.pdb,0.40578,0.9666666666666667
wzg,wzg_seq12.pdb,wzg_seq14.pdb,0.39638,0.9708333333333333
wzg,wzg_seq12.pdb,wzg_seq38.pdb,0.37075,0.9645833333333333
wzg,wzg_seq12.pdb,wzg_seq53.pdb,0.48624,0.9875259875259875
wzg,wzg_seq12.pdb,wzg_seq18.pdb,0.41752,0.9313929313929314
wzg,wzg_seq12.pdb,wzg_seq40.pdb,0.37077,0.96875
wzg,wzg_seq12.pdb,wzg_seq6.pdb,0.36669,0.96875
wzg,wzg_seq12.pdb,wzg_seq62.pdb,0.43563,0.9812889812889813
wzg,wzg_seq12.pdb,wzg_seq24.pdb,0.3173,0.9666666666666667
wzg,wzg_seq12.pdb,wzg_seq45.pdb,0.44931,0.9479166666666666
wzg,wzg_seq12.pdb,wzg_seq22.pdb,0.34284,0.96875
wzg,wzg_seq12.pdb,wzg_seq43.pdb,0.43149,0.9666666666666667
wzg,wzg_seq12.pdb,wzg_seq9.pdb,0.37873,0.9708333333333333
wzg,wzg_seq12.pdb,wzg_seq52.pdb,0.48235,0.9916839916839917
wzg,wzg_seq12.pdb,wzg_seq15.pdb,0.40884,0.9708333333333333
wzg,wzg_seq12.pdb,wzg_seq42.pdb,0.43314,0.96875
wzg,wzg_seq12.pdb,wzg_seq21.pdb,0.40487,0.9645833333333333
wzg,wzg_seq12.pdb,wzg_seq50.pdb,0.35873,0.9875259875259875
wzg,wzg_seq12.pdb,wzg_seq60.pdb,0.38543,0.9708939708939709
wzg,wzg_seq12.pdb,wzg_seq32.pdb,0.43974,0.9375
wzg,wzg_seq12.pdb,wzg_seq16.pdb,0.42773,0.9645833333333333
wzg,wzg_seq12.pdb,wzg_seq39.pdb,0.4073,0.96875
wzg,wzg_seq12.pdb,wzg_seq34.pdb,0.38168,0.9479166666666666
wzg,wzg_seq12.pdb,wzg_seq25.pdb,0.34148,0.9666666666666667
wzg,wzg_seq12.pdb,wzg_seq49.pdb,0.46014,0.9708333333333333
wzg,wzg_seq12.pdb,wzg_seq1.pdb,0.51997,0.9916839916839917
wzg,wzg_seq12.pdb,wzg_seq54.pdb,0.41593,0.9896049896049897
wzg,wzg_seq12.pdb,wzg_seq13.pdb,0.46261,0.9812889812889813
wzg,wzg_seq12.pdb,wzg_seq58.pdb,0.4173,0.9729166666666667
wzg,wzg_seq12.pdb,wzg_seq10.pdb,0.37551,0.9667359667359667
wzg,wzg_seq12.pdb,wzg_seq51.pdb,0.37984,0.975
wzg,wzg_seq12.pdb,wzg_seq17.pdb,0.40626,0.9334719334719335
wzg,wzg_seq12.pdb,wzg_seq33.pdb,0.4321,0.9645833333333333
wzg,wzg_seq12.pdb,wzg_seq30.pdb,0.44103,0.93125
wzg,wzg_seq12.pdb,wzg_seq8.pdb,0.34958,0.96875
wzg,wzg_seq12.pdb,wzg_seq44.pdb,0.33521,0.6841004184100419
wzg,wzg_seq12.pdb,wzg_seq37.pdb,0.42444,0.9520833333333333
wzg,wzg_seq12.pdb,wzg_seq4.pdb,0.39273,0.96875
wzg,wzg_seq12.pdb,wzg_seq46.pdb,0.35542,0.9666666666666667
wzg,wzg_seq12.pdb,wzg_seq55.pdb,0.38555,0.9479166666666666
wzg,wzg_seq12.pdb,wzg_seq57.pdb,0.25786,0.6841004184100419
wzg,wzg_seq12.pdb,wzg_seq28.pdb,0.4399,0.9812889812889813
wzg,wzg_seq12.pdb,wzg_seq35.pdb,0.44041,0.9666666666666667
wzg,wzg_seq12.pdb,wzg_seq63.pdb,0.3766,0.96875
wzg,wzg_seq12.pdb,wzg_seq3.pdb,0.36082,0.9519832985386222
wzg,wzg_seq12.pdb,wzg_seq29.pdb,0.39883,0.9896049896049897
wzg,wzg_seq12.pdb,wzg_seq31.pdb,0.44176,0.9375
wzg,wzg_seq12.pdb,wzg_seq61.pdb,0.36281,0.9625
wzg,wzg_seq12.pdb,wzg_seq20.pdb,0.43016,0.9645833333333333
wzg,wzg_seq12.pdb,wzg_seq41.pdb,0.41387,0.9896049896049897
wzg,wzg_seq12.pdb,wzg_seq23.pdb,0.43704,0.9458333333333333
wzg,wzg_seq12.pdb,wzg_seq11.pdb,0.45929,0.96875
wzg,wzg_seq12.pdb,wzg_seq5.pdb,0.40777,0.9583333333333334
wzg,wzg_seq12.pdb,wzg_seq56.pdb,0.43696,0.9812889812889813
wzg,wzg_seq0.pdb,wzg_seq27.pdb,0.3576,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq7.pdb,0.38603,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq59.pdb,0.41603,0.9604989604989606
wzg,wzg_seq0.pdb,wzg_seq26.pdb,0.36567,0.9792099792099792
wzg,wzg_seq0.pdb,wzg_seq2.pdb,0.43932,0.9771309771309772
wzg,wzg_seq0.pdb,wzg_seq47.pdb,0.36569,0.975051975051975
wzg,wzg_seq0.pdb,wzg_seq14.pdb,0.43098,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq38.pdb,0.36506,0.9521829521829522
wzg,wzg_seq0.pdb,wzg_seq53.pdb,0.32837,0.9375
wzg,wzg_seq0.pdb,wzg_seq18.pdb,0.35278,0.9043659043659044
wzg,wzg_seq0.pdb,wzg_seq40.pdb,0.57175,0.9584199584199584
wzg,wzg_seq0.pdb,wzg_seq6.pdb,0.48192,0.9584199584199584
wzg,wzg_seq0.pdb,wzg_seq62.pdb,0.37517,0.9458333333333333
wzg,wzg_seq0.pdb,wzg_seq24.pdb,0.52708,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq45.pdb,0.51391,0.9792099792099792
wzg,wzg_seq0.pdb,wzg_seq22.pdb,0.43272,0.9604989604989606
wzg,wzg_seq0.pdb,wzg_seq43.pdb,0.33755,0.9542619542619543
wzg,wzg_seq0.pdb,wzg_seq9.pdb,0.38428,0.9542619542619543
wzg,wzg_seq0.pdb,wzg_seq52.pdb,0.37795,0.9458333333333333
wzg,wzg_seq0.pdb,wzg_seq15.pdb,0.39569,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq42.pdb,0.32298,0.9604989604989606
wzg,wzg_seq0.pdb,wzg_seq21.pdb,0.36183,0.9542619542619543
wzg,wzg_seq0.pdb,wzg_seq50.pdb,0.40306,0.9458333333333333
wzg,wzg_seq0.pdb,wzg_seq60.pdb,0.39252,0.9229166666666667
wzg,wzg_seq0.pdb,wzg_seq32.pdb,0.37177,0.9667359667359667
wzg,wzg_seq0.pdb,wzg_seq16.pdb,0.39156,0.9501039501039501
wzg,wzg_seq0.pdb,wzg_seq39.pdb,0.36525,0.9584199584199584
wzg,wzg_seq0.pdb,wzg_seq34.pdb,0.45325,0.9251559251559252
wzg,wzg_seq0.pdb,wzg_seq25.pdb,0.36916,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq49.pdb,0.39433,0.9584199584199584
wzg,wzg_seq0.pdb,wzg_seq1.pdb,0.38264,0.9416666666666667
wzg,wzg_seq0.pdb,wzg_seq54.pdb,0.41338,0.94375
wzg,wzg_seq0.pdb,wzg_seq13.pdb,0.35536,0.93125
wzg,wzg_seq0.pdb,wzg_seq58.pdb,0.42507,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq10.pdb,0.41203,0.9521829521829522
wzg,wzg_seq0.pdb,wzg_seq51.pdb,0.47677,0.9625779625779626
wzg,wzg_seq0.pdb,wzg_seq17.pdb,0.47339,0.9064449064449065
wzg,wzg_seq0.pdb,wzg_seq33.pdb,0.39553,0.9501039501039501
wzg,wzg_seq0.pdb,wzg_seq30.pdb,0.42952,0.9604989604989606
wzg,wzg_seq0.pdb,wzg_seq8.pdb,0.39698,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq44.pdb,0.30508,0.689727463312369
wzg,wzg_seq0.pdb,wzg_seq37.pdb,0.53644,0.9833679833679834
wzg,wzg_seq0.pdb,wzg_seq4.pdb,0.55747,0.9542619542619543
wzg,wzg_seq0.pdb,wzg_seq46.pdb,0.4918,0.9542619542619543
wzg,wzg_seq0.pdb,wzg_seq55.pdb,0.47367,0.9792099792099792
wzg,wzg_seq0.pdb,wzg_seq57.pdb,0.29049,0.689727463312369
wzg,wzg_seq0.pdb,wzg_seq28.pdb,0.35863,0.93125
wzg,wzg_seq0.pdb,wzg_seq35.pdb,0.416,0.9625779625779626
wzg,wzg_seq0.pdb,wzg_seq63.pdb,0.41088,0.9542619542619543
wzg,wzg_seq0.pdb,wzg_seq3.pdb,0.39497,0.9771309771309772
wzg,wzg_seq0.pdb,wzg_seq29.pdb,0.38639,0.9458333333333333
wzg,wzg_seq0.pdb,wzg_seq31.pdb,0.36704,0.9667359667359667
wzg,wzg_seq0.pdb,wzg_seq61.pdb,0.37838,0.9584199584199584
wzg,wzg_seq0.pdb,wzg_seq20.pdb,0.35218,0.9604989604989606
wzg,wzg_seq0.pdb,wzg_seq41.pdb,0.37744,0.9416666666666667
wzg,wzg_seq0.pdb,wzg_seq23.pdb,0.46801,0.9771309771309772
wzg,wzg_seq0.pdb,wzg_seq11.pdb,0.42393,0.9563409563409564
wzg,wzg_seq0.pdb,wzg_seq5.pdb,0.49019,0.9521829521829522
wzg,wzg_seq0.pdb,wzg_seq56.pdb,0.45048,0.9333333333333333
wzg,wzg_seq27.pdb,wzg_seq7.pdb,0.36501,0.9646569646569647
wzg,wzg_seq27.pdb,wzg_seq59.pdb,0.54427,0.9833679833679834
wzg,wzg_seq27.pdb,wzg_seq26.pdb,0.49575,0.9625779625779626
wzg,wzg_seq27.pdb,wzg_seq2.pdb,0.37304,0.9646569646569647
wzg,wzg_seq27.pdb,wzg_seq47.pdb,0.40152,0.975051975051975
wzg,wzg_seq27.pdb,wzg_seq14.pdb,0.4225,0.9792099792099792
wzg,wzg_seq27.pdb,wzg_seq38.pdb,0.50657,0.9771309771309772
wzg,wzg_seq27.pdb,wzg_seq53.pdb,0.35242,0.9708333333333333
wzg,wzg_seq27.pdb,wzg_seq18.pdb,0.45682,0.9334719334719335
wzg,wzg_seq27.pdb,wzg_seq40.pdb,0.3591,0.9812889812889813
wzg,wzg_seq27.pdb,wzg_seq6.pdb,0.48733,0.9896049896049897
wzg,wzg_seq27.pdb,wzg_seq62.pdb,0.40862,0.9666666666666667
wzg,wzg_seq27.pdb,wzg_seq24.pdb,0.40863,0.9812889812889813
wzg,wzg_seq27.pdb,wzg_seq45.pdb,0.35696,0.9625779625779626
wzg,wzg_seq27.pdb,wzg_seq22.pdb,0.34091,0.9854469854469855
wzg,wzg_seq27.pdb,wzg_seq43.pdb,0.39594,0.975051975051975
wzg,wzg_seq27.pdb,wzg_seq9.pdb,0.46465,0.9875259875259875
wzg,wzg_seq27.pdb,wzg_seq52.pdb,0.43085,0.9708333333333333
wzg,wzg_seq27.pdb,wzg_seq15.pdb,0.43975,0.9792099792099792
wzg,wzg_seq27.pdb,wzg_seq42.pdb,0.34762,0.9854469854469855
wzg,wzg_seq27.pdb,wzg_seq21.pdb,0.56237,0.9771309771309772
wzg,wzg_seq27.pdb,wzg_seq50.pdb,0.38994,0.9666666666666667
wzg,wzg_seq27.pdb,wzg_seq60.pdb,0.40175,0.9583333333333334
wzg,wzg_seq27.pdb,wzg_seq32.pdb,0.50773,0.9521829521829522
wzg,wzg_seq27.pdb,wzg_seq16.pdb,0.39544,0.9854469854469855
wzg,wzg_seq27.pdb,wzg_seq39.pdb,0.43158,0.9812889812889813
wzg,wzg_seq27.pdb,wzg_seq34.pdb,0.36883,0.9542619542619543
wzg,wzg_seq27.pdb,wzg_seq25.pdb,0.56458,0.9812889812889813
wzg,wzg_seq27.pdb,wzg_seq49.pdb,0.32534,0.9833679833679834
wzg,wzg_seq27.pdb,wzg_seq1.pdb,0.42376,0.9666666666666667
wzg,wzg_seq27.pdb,wzg_seq54.pdb,0.52867,0.96875
wzg,wzg_seq27.pdb,wzg_seq13.pdb,0.36259,0.9625
